Folder_Name;Clean_Title;Search_Title;Platforms;Year_Folder;Path_Root;Path_Video;Untested;Metadata_Locked;Status_Flag;Summary;Genre;Developer;Publisher;Image_Link;Trailer_Link;Original_Release_Date;Remake_Release_Date;Developer / Publisher;Poster_URL;Empty
2006 - Desperados 2 - Cooper's Revenge;Desperados 2 - Cooper's Revenge;Desperados 2 Cooper's Revenge;Warez;2006.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DESPERADOS\2006 - Desperados 2 - Cooper's Revenge;\\madhdd02\Software\GAMES\GAMES COMPIL\DESPERADOS\2006 - Desperados 2 - Cooper's Revenge.mp4;False;False;OK;"Desperados 2 is the sequel of the successful wild west title ""Desperados - Wanted Dead or Alive"".
The gameplay is based on its predecessor but with brand new tactical possibilities in a beautiful 3D environment. The player is able to switch from an isometric view to a third person view whenever he wants, for example for duels, brawls and shoot-outs. There will be a great variety of setting for example dusty canyons, ghost towns, Indian villages and forts creating a breathtaking atmosphere.

Take on the role of up to 6 heroes including the famous bounty hunter John Cooper and experience in a thrilling story with surprising turns.

Real-time-strategy and tactic involved in an exciting story and a thrilling Western atmosphere
Varied settings including towns, Indian villages, dusty canyons, forts, wagon convoys and ghost towns
Double 3D view: pivotable isometric view and 3rd person view for fights and very close action
Several levels of difficulty and a new A.I. with more tactical opponent behaviour and more interaction with allies
4 individual actions per hero
Improved mission briefings
A new hero: Hawkeye, the Indian
5 actions per hero planable in advance with headword overview (Quick Actions)
More interaction with the environment due to full 3D interior views of buildings and movements like climbing, sneaking and hiding
The new physics-engine allows movie-like stunt effects";Real Time Strategy (RTS), Strategy, Tactical;;;./images\Desperados 2  Coopers Revenge.jpg;;2006.0;;;images\2006 - Desperados 2 - Cooper's Revenge.jpg;False
2007 - Helldorado;Helldorado;Helldorado;Warez;2007.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DESPERADOS\2007 - Helldorado;\\madhdd02\Software\GAMES\GAMES COMPIL\DESPERADOS\2007 - Helldorado.mp4;False;False;OK;"Helldorado is a brand-new, standalone 3D-real-time tactics game at highest level. The story leads the six heroes around John Cooper into a dusky precipice of a deadly conspiracy and through completely new and thrilling locations of the Wild West.

Clever combo-actions offer the player numerous unimagined tactical possibilities to put the fear of God into the opponents using tricky teamwork.

With the integrated movie-mode planned actions of the heroes can be recorded Hollywood-like with slow-motion and changing camera views, watched afterwards or even exported and shared with friends.

A mature and clear interface makes tactical planning and quick reactions on the opponents' behaviour easier. With an integrated tutorial mission and with three elaborated difficulty levels players will find their appropriate challenge in the Wild West.

Join the heroes and lead John Cooper and his five companions in thrilling and diversified missions through their most dangerous adventure.

Real-time strategy and tactics in a hard-edged adventure in the old American Wild West.
Breathtaking scenarios including the forgotten Rochester’s Jail, a stormy train robbery in a relay station, a bloody sunset in Santa Fe, an ambush in the dark and gruesome Blackwater, and a visit to the beautiful New Orleans
Enhanced Quick Actions: Unique to Spellbound games, this feature allows players to pre-schedule their heroes’ movements. Helldorado introduces a visual representation of intended actions combined with pause mode, keywords overview and tactical waypoint display
Combo Actions pair skills from any combination of two heroes for added tactical versatility
Movie Mode for recording, watching and exporting of your own heroic deeds. Be your own Hollywood director!
Switch instantly between freely rotatable and zoomable isometric and 3rd person views to gain the greatest tactical advantage.
Powerful, effective and fast-paced hero control using an extremely reactive and easy to learn interface
Exciting step-by-step tutorial gets you into the action fast – for beginners and experienced heroes, both.
3 well-balanced difficulty levels – tailor-made for your basic tenderfoot, average cow puncher, or hard-drivin’ gunslingers.
More than one way to play… and more than one way to score your reward. Play it your way… or all ways!
Avoid unpleasant – and deadly – surprises with Helldorado’s intelligent early warning system. If you’re clever and observant, you’ll survive longer.
60 different enemies with tactical behavior driven by our advanced AI system.
Use your enemies’ weaknesses against them. Use alcohol or seduction as weapons in a game of deadly cat and mouse.";Real Time Strategy (RTS), Strategy, Tactical;;;./images\Helldorado.jpg;;2007.0;;;images\2007 - Helldorado.jpg;False
2020 - Desperados 3;Desperados 3;Desperados 3;Warez;2020.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DESPERADOS\2020 - Desperados 3;;False;False;OK;The Wild West. A place where the law is made by those with a gun in their hands, and is enforced by the henchmen at their command. A place where death is no stranger and the undertakers are working overtime… especially when people start playing Desperados III. This real-time tactics game, developed by German game studio Mimimi Games (Shadow Tactics: Blades Of The Shogun), lets players command a band of Desperados led by fan-favourite gunslinger John Cooper.;Real Time Strategy (RTS), Simulator, Strategy, Tactical;;;./images\Desperados 3.jpg;;2020.0;;;images\2020 - Desperados 3.jpg;False
Dino Crisis;Dino Crisis;Dino Crisis;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DINO CRISIS\Dino Crisis;\\madhdd02\Software\GAMES\GAMES COMPIL\DINO CRISIS\Dino Crisis.mp4;False;False;OK;Dino Crisis is a survival horror video game developed and published by Capcom in 1999. Set in a remote research facility, it follows special agent Regina as she investigates a scientific experiment gone wrong. The game combines exploration, puzzle-solving, and combat against hostile dinosaurs. It uses a real-time 3D environment rather than pre-rendered backgrounds, distinguishing it from earlier Capcom horror titles. Dino Crisis is often noted for its emphasis on tension, limited resources, and fast, unpredictable enemies.;Shooter, Puzzle, Adventure;;;./images\Dino Crisis.jpg;;1999.0;;;images\Dino Crisis.jpg;False
Dino Crisis 2;Dino Crisis 2;Dino Crisis 2;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DINO CRISIS\Dino Crisis 2;\\madhdd02\Software\GAMES\GAMES COMPIL\DINO CRISIS\Dino Crisis 2.mp4;False;False;OK;Dino Crisis 2 is a third-person action-adventure game and sequel to Dino Crisis. In a change from the survival horror theme of the first game, Dino Crisis 2 is more shoot 'em up oriented. The character always runs, thus removing the need for the run button from the first game, a second gun can be carried and more weapons were added to the game. Besides changes to the gameplay, the game also introduces new species of dinosaurs and lizards.;Shooter, Adventure;;;./images\Dino Crisis 2.jpg;;2000.0;;;images\Dino Crisis 2.jpg;False
2001 - Disciples Sacred Lands Gold;Disciples Sacred Lands Gold;Disciples Sacred Lands Gold;Warez;2001.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DISCIPLES\2001 - Disciples Sacred Lands Gold;;False;False;OK;Disciples Gold takes the phenomenal gameplay, stunning graphics, over 100 spells and a powerful scenario editor of Disciples and adds new scenarios and gameplay features that set the new standard in Turn-Based Strategy.;Strategy, Turn-based strategy (TBS);;;./images\Disciples Sacred Lands Gold.jpg;;2001.0;;;images\2001 - Disciples Sacred Lands Gold.jpg;False
2006 - Disciples II, Rise of the Elves Gold;Disciples II, Rise of the Elves Gold;Disciples II, Rise of the Elves Gold;Warez;2006.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DISCIPLES\2006 - Disciples II, Rise of the Elves Gold;;False;False;OK;This version features all of the campaigns found in the original game and a brand-new mini campaign not found in any other editions of Disciples II, which consists of the 3 maps and continues the storyline of the Elven Race. It also includes 14 new skirmish maps to test and hone your skills.;Role-playing (RPG), Strategy, Turn-based strategy (TBS);;;./images\Disciples II Rise of the Elves Gold.jpg;;2006.0;;;images\2006 - Disciples II, Rise of the Elves Gold.jpg;False
2014 - Disciples 3 Reincarnation;Disciples 3 Reincarnation;Disciples 3 Reincarnation;Warez;2014.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DISCIPLES\2014 - Disciples 3 Reincarnation;;False;False;OK;"A true reincarnation of the legendary series!
The Almighty has turned away from Nevendaar and its denizens. He is busy thinking about the fate of the world. Above Nevendaar, rent by perpetual wars, a new star flashed out. What will it bring with it? Who will claim its great power? Immerse in the struggle of four powerful races!

""Disciples III: Reincarnation"" offers a revamped and enhanced version of ""Disciples III: Renaissance"" plus the addon ""Resurrection"" with all new features, a revised battle engine and all new graphics. 

Features:

Unique visual style and magnificent gothic atmosphere with new graphics, new features and an enhanced battle system
Dramatic and intriguing plot, written by Ekaterina Stadnikova, the author of the most successful Disciples-themed novel “Precious Blood”
New combat and magic system. Dozens of new global spells
Totems and flags in the inventory will change the balance on the battlefield
Aquatic spaces with majestic ships and terrifying bosses
Over 180 hours of gameplay. Four different factions, 27 large detailed missions, over 70 new side quests, significantly extending the main storyline
Over 200 new objects on land and sea plus 13 new neutral units.
Multiplayer in hot-seat mode and over the net. Engage neutral units and get them to fight on your side.
Gaming editor to create your own campaigns.";Role-playing (RPG), Strategy, Turn-based strategy (TBS);;;./images\Disciples 3 Reincarnation.jpg;;2014.0;;;images\2014 - Disciples 3 Reincarnation.jpg;False
2021 - Disciples Liberation;Disciples Liberation;Disciples Liberation;Warez;2021.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DISCIPLES\2021 - Disciples Liberation;;False;False;OK;Disciples: Liberation is a mature, dark fantasy strategy RPG with turn-based combat. Liberate the land of Nevendaar and uncover the endless stories hidden within this richly detailed world where every decision has a consequence, and every wrong move could be deadly.;Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical;;;./images\Disciples Liberation.jpg;;2021.0;;;images\2021 - Disciples Liberation.jpg;False
2026 - Disciples Domination;Disciples Domination;Disciples Domination;Warez;2026.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DISCIPLES\2026 - Disciples Domination;\\madhdd02\Software\GAMES\GAMES COMPIL\DISCIPLES\2026 - Disciples Domination.mp4;False;False;OK;"Rule through the chaos! Fifteen years after Avyanna freed Nevendaar from the tyrannical grip of the gods, Disciples: Domination returns you to a realm hanging in the balance. In this dark fantasy strategy RPG with turn-based combat, take your place on Queen Avyanna’s throne – and attempt to hold together a crumbling kingdom.

The fire of doubt burns scorching within her, sparked by the crushing weight of the throne in Yllian and stoked by twisted dreams of becoming one of the very monsters she once defied – and destroyed. Paralyzed by fear and haunted by her own power, Avyanna’s rule begins to crack. Allies disappear and abandon her. An unknown force spreads strife and madness through her realm.

The choice is yours – shape the future, for salvation or ruin. As you chase the truths behind the ceaseless conflicts, dark magic and lurking conspiracies infecting your rotting empire, you’ll face betrayal, strife, and shadowy schemes. Uncover the long-lost Mountain Clans, witness the rise of an ancient cult and confront a corrupted seer whose visions have awoken bitter grudges, while old enemies are on the rise.

It will take all your courage to save Nevendaar. Are you brave enough to face – and embrace – its darkest truths?";Role-playing (RPG), Strategy;;;./images\Disciples Domination.jpg;;2026.0;;;images\2026 - Disciples Domination.jpg;False
2009 - Dragon Age Origins;Dragon Age Origins;Dragon Age Origins;Warez;2009.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2009 - Dragon Age Origins;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2009 - Dragon Age Origins.mp4;False;False;OK;Dragon Age: Origins is a third-person role-playing game described as a spiritual successor to Baldur's Gate and Neverwinter Nights franchises. Players create their own character by customizing gender and appearance as well as choosing a race and class. Combat is in real time with the ability to pause at any moment: tactical options include an editor which allows the player to give the AI detailed instructions on how to behave in every possible situation. Although the main storyline is the same for every character created, the game features six unique prologues, two for each race. Dragon Age: Origins received critical acclaim upon release, with praise mostly directed at its story, setting, characters, music and combat system.;Role-playing (RPG);;;./images\Dragon Age Origins.jpg;;2009.0;;;images\2009 - Dragon Age Origins.jpg;False
2011 - Dragon Age II;Dragon Age II;Dragon Age II;Warez;2011.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2011 - Dragon Age II;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2011 - Dragon Age II.mp4;False;False;OK;Dragon Age II is the sequel to Dragon Age: Origins and the second major game in the series. Like its predecessor, players can explore and engage in combat from a third-person perspective and will also encounter various companions who play major roles in the plot and gameplay. Depending on players' decisions and dialogue, a companion will either recognize the main character Hawke as a friend or a rival. The game adopts the wheel-based dialogue system, meaning short responses that reflect different tones and attitudes the player wishes to choose for Hawke. The combat system is quite similar to the one used in the previous Dragon Age game, though it has been noticeably sped up.;Role-playing (RPG), Adventure;;;./images\Dragon Age II.jpg;;2011.0;;;images\2011 - Dragon Age II.jpg;False
2014 - Dragon Age Inquisition (Epic Games Store);Dragon Age Inquisition;Dragon Age Inquisition;Epic Games Store;2014.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2014 - Dragon Age Inquisition (Epic Games Store);\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2014 - Dragon Age Inquisition (Epic Games Store).mp4;False;False;OK;"Dragon Age: Inquisition is a role-playing game and the third main game in the Dragon Age series. It is set in the Thedas continent, the same fantasy world as the two previous games. It consist of two large countries: Ferelden (from Dragon Age: Origins) and Orlais, as well as the land inbetween.

True to the spirit of the series the character can be customized for appearance, sex, class and race. The available races are dwarf, elf, human, and Qunari and the classes are mage, rogue, and warrior with three specializations each. To grow the Inquisition experience needs to be earned by completing quests, which allows the player to further define allegiances and pursue romances.

A custom party can be defined and each member benefits from experience as it opens up access to better weapons and more abilities. Power points open up new areas and Inquisition points define the influence over the region; each new level provides a perk that benefits the entire Inquisition.";Role-playing (RPG), Strategy, Tactical, Adventure;;;./images\Dragon Age Inquisition.jpg;;2014.0;;;images\2014 - Dragon Age Inquisition (Epic Games Store).jpg;True
2024 - Dragon Age The Veilguard;Dragon Age The Veilguard;Dragon Age The Veilguard;Warez;2024.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2024 - Dragon Age The Veilguard;\\madhdd02\Software\GAMES\GAMES COMPIL\DRAGON AGE\2024 - Dragon Age The Veilguard.mp4;False;False;OK;"Select from different races and combat classes, customize your appearance, choose your character’s backstory and begin your journey as Rook, Dragon Age’s newest hero.

Select from three classes (Warrior, Mage, and Rogue), each with two distinct weapon types and unique abilities you can select between mid-combat. Experience new strategic depth as you combine fast-paced attacks, parries, and dodges with the companion ability wheel to exploit enemy weaknesses and seize victory with devastating combat combos.

The Veilguard contains several different factions, any of these could prove to be important ally during the story. Your faction choice will influence Rook's backstory, conversation options and more.";Role-playing (RPG), Strategy, Adventure;;;./images\Dragon Age The Veilguard.jpg;;2024.0;;;images\2024 - Dragon Age The Veilguard.jpg;False
Duke Nukem;Duke Nukem;Duke Nukem;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem;;False;False;OK;Duke Nukem is back. Captured by an alien foe in the middle of promoting his best-selling book, “Why I’m So Great”, Duke must once more defeat the forces of evil to save himself from the knowledge-stealing Rigelatins, and ultimately prove his book’s namesake. In this sequel to the 1991 high-octane, bot-busting video game, Duke Nukem, the King of Action must blast, cannon, missile and flame his way to victory - a victory that would stop the secrets of both ass-kicking and bubblegum from falling into the wrong hands.;Shooter, Platform, Arcade;;;./images\Duke Nukem.jpg;;1993.0;;;images\Duke Nukem.jpg;False
Duke Nukem 3D Atomic Edition (GOG);Duke Nukem 3D Atomic Edition;Duke Nukem 3D Atomic Edition;GOG;;\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem 3D Atomic Edition (GOG);\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem 3D Atomic Edition (GOG).mp4;False;False;OK;The Atomic Edition of Duke Nukem 3D contains the three original episodes of the main game, the Plutonium Pak expansion, and many additional features like Windows themes, screensavers, jigsaw puzzles and an image carousel.;Shooter;;;./images\Duke Nukem 3D Atomic Edition.jpg;;1996.0;;;images\Duke Nukem 3D Atomic Edition (GOG).jpg;True
Duke Nukem Forever (Steam);Duke Nukem Forever;Duke Nukem Forever;Steam;;\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem Forever (Steam);;False;False;OK;"Prior to it's 2011 release, Duke Nukem Forever went through various different stages of development. The 1996 build of the game had a completely different style of gameplay compared to other builds of the game, where the game was intended to be a 2D side-scroller instead of a third person shooter.

On December 26, 2022, 4 prototype builds of the game was leaked onto 4Chan by x0r_jmp.";Platform;;;./images\Duke Nukem Forever.jpg;;;;;images\Duke Nukem Forever (Steam).jpg;True
Duke Nukem II;Duke Nukem II;Duke Nukem II;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem II;;False;False;OK;Duke Nukem is back. Captured by an alien foe in the middle of promoting his best-selling book, “Why I’m So Great”, Duke must once more defeat the forces of evil to save himself from the knowledge-stealing Rigelatins, and ultimately prove his book’s namesake. In this sequel to the 1991 high-octane, bot-busting video game, Duke Nukem, the King of Action must blast, cannon, missile and flame his way to victory - a victory that would stop the secrets of both ass-kicking and bubblegum from falling into the wrong hands.;Shooter, Platform, Arcade;;;./images\Duke Nukem II.jpg;;1993.0;;;images\Duke Nukem II.jpg;False
Duke Nukem Manhattan Project;Duke Nukem Manhattan Project;Duke Nukem Manhattan Project;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem Manhattan Project;\\madhdd02\Software\GAMES\GAMES COMPIL\DUKE NUKEM\Duke Nukem Manhattan Project.mp4;False;False;OK;Duke Nukem takes his Mighty Boot to the Big Apple. Using GLOPP (Gluon Liquid Omega-Phased Plasma), the maniacal mech Morphix has transformed the creatures of New York City into an army of bloodthirsty mutants. In Duke Nukem: Manhattan Project, Duke must deploy WIN (Weapons, Insults and Name-Calling) to rid the city of goo-based bad guys, and return peace and tranquility to The City That Never Sleeps.;Shooter, Platform, Adventure;;;./images\Duke Nukem Manhattan Project.jpg;;2002.0;;;images\Duke Nukem Manhattan Project.jpg;False
1992 - Dune II, The Battle for Arrakis;Dune II, The Battle for Arrakis;Dune II, The Battle for Arrakis;Warez;1992.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNE\1992 - Dune II, The Battle for Arrakis;;False;False;OK;;;;;;;;;;;False
1998 - Dune 2000;Dune 2000;Dune 2000;Warez;1998.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNE\1998 - Dune 2000;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNE\1998 - Dune 2000.mp4;False;False;OK;"Real-time strategy taking place in Frank Herbert's ""Dune"" universe. The game is a remake of a classic RTS game ""Dune 2"". Player can play as a commander of one of three different factions: Harkonnen, Atreides or Ordos.

Do you like the feeling you get when you have won over someone? If it was something that we had really worked hard, then the fell of victory is something precious and incalculable. The game Dune 2000 could help in giving your competitive spirit a new edge. It is an updated version of the Dune II. In this game the player would have to fight for an interesting thing; the control of the spices in the galaxy. The spices control could make you the most powerful there. The player has to choose to be one of the three houses first: Atreides, Harkonnen, or Ordos.

Each house has its own vice and virtue and the right selection could give the player right start to the game but he could learn as well as, later in the game with time. Once you choose a side, you to win the King’s challenge of producing the most amount of spice. It won’t be as easy as it sounds. For getting the control of the spices, the player has to fight over the other two houses by all means.

Dune 2000 is done with enough of stunt and live-in scenes to pep up the theme and there is a soothing sound score to add to the overall theme. It’s a game based on the Dune series book of Frank Herbert and gives the player a real pleasure of both combat and competition.";Real Time Strategy (RTS), Strategy;;;./images\Dune 2000.jpg;;1998.0;;;images\1998 - Dune 2000.jpg;False
2001 - Emperor Battle for Dune;Emperor Battle for Dune;Emperor Battle for Dune;Warez;2001.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNE\2001 - Emperor Battle for Dune;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNE\2001 - Emperor Battle for Dune.mp4;False;False;OK;Emperor: Battle for Dune represents the seamless combination of cutting-edge 3D graphics and perfected real-time strategy gameplay. In your conquest for the Imperial Throne, choose from 3 unique sides and 5 powerful subgroups to plot a perilous course through up to 5 treacherous gameworlds. In both singleplay and multiplay, lead your forces in both large-scale planetary strategies and cunning ground-level tactics. Westwood Studios is proud to have chosen the gripping universe of Dune for its first 3D real-time strategy title - Emperor:Battle for Dune.;Real Time Strategy (RTS), Strategy;;;./images\Emperor Battle for Dune.jpg;;2001.0;;;images\2001 - Emperor Battle for Dune.jpg;False
1997 - Dungeon Keeper;Dungeon Keeper;Dungeon Keeper;Warez;1997.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNGEON KEEPER\1997 - Dungeon Keeper;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNGEON KEEPER\1997 - Dungeon Keeper.mp4;False;False;OK;Devilishly smart. Deploy wicked tactics and dominate your enemies! Build the ultimate underground lair and summon diabolical forces to do your bidding. It’s tower defense…without the tower…and a lot more offensive!;Real Time Strategy (RTS), Strategy;;;./images\Dungeon Keeper.jpg;;2014.0;;;images\1997 - Dungeon Keeper.jpg;False
1999 - Dungeon Keeper 2;Dungeon Keeper 2;Dungeon Keeper 2;Warez;1999.0;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNGEON KEEPER\1999 - Dungeon Keeper 2;\\madhdd02\Software\GAMES\GAMES COMPIL\DUNGEON KEEPER\1999 - Dungeon Keeper 2.mp4;False;False;OK;Like its predecessor, players take the role of a dungeon keeper, building and defending an underground dungeon from the would-be heroes that invade it, as well as from other keepers. In the game's campaign mode, the player is charged with recovering the portal gems from each area in order to open a portal to the surface.;Real Time Strategy (RTS), Role-playing (RPG), Strategy;;;./images\Dungeon Keeper 2.jpg;;1999.0;;;images\1999 - Dungeon Keeper 2.jpg;False
Dying Ligh, The Beast;Dying Ligh, The Beast;Dying Ligh, The Beast;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DYING LIGHT\Dying Ligh, The Beast;\\madhdd02\Software\GAMES\GAMES COMPIL\DYING LIGHT\Dying Ligh, The Beast.mp4;False;False;OK;;;;;;;;;;;False
Dying Light;Dying Light;Dying Light;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DYING LIGHT\Dying Light;\\madhdd02\Software\GAMES\GAMES COMPIL\DYING LIGHT\Dying Light.mp4;False;False;OK;Dying Light is a first-person, action survival horror game set in a vast and dangerous open world. During the day, players traverse an expansive urban environment overrun by a vicious outbreak, scavenging the world for supplies and crafting weapons to defend against the growing infected population. At night, the hunter becomes the hunted, as the infected become aggressive and more dangerous. Most frightening are the predators which only appear after sundown. Players must use everything in their power to survive until the morning’s first light.;Shooter, Role-playing (RPG), Adventure;;;./images\Dying Light.jpg;;2015.0;;;images\Dying Light.jpg;False
Dying Light 2 Stay Human;Dying Light 2 Stay Human;Dying Light 2 Stay Human;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\DYING LIGHT\Dying Light 2 Stay Human;\\madhdd02\Software\GAMES\GAMES COMPIL\DYING LIGHT\Dying Light 2 Stay Human.mp4;False;False;OK;The last great human settlement exists within an unforgiving, infected world. Exceptional agility and combat skills make you a powerful ally and a valuable commodity. With your unique abilities you have the power to be an agent of change within this decaying metropolis. Use it wisely.;Role-playing (RPG), Adventure;;;./images\Dying Light 2 Stay Human.jpg;;2022.0;;;images\Dying Light 2 Stay Human.jpg;False
1996 - Earthworm Jim 1 + 2;Earthworm Jim 1 + 2;Earthworm Jim 1 + 2;Warez;1996.0;\\madhdd02\Software\GAMES\GAMES COMPIL\EARTHWORM JIM\1996 - Earthworm Jim 1 + 2;\\madhdd02\Software\GAMES\GAMES COMPIL\EARTHWORM JIM\1996 - Earthworm Jim 1 + 2.mp4;False;False;OK;"The bundle contains the two 2D-Shoot-and-runs featuring Earthworm Jim in his space suit.
It has been release for Windows and Linux. A 25th anniversary Edition, limited to 2000 copies, has been released for SNES.

Jim wasn't always a studly super-worm. He was once just a spineless, dirt-eater with no real mission in his life...

But then something unexpected happened. The evil Psy-Crow was transporting a super suit, built by the genius Professor Monkey-For-A-Head, to Queen Pulsating, Bloated, Festering, Sweaty, Pus-Filled, Malformed, Slug-For-A-Butt, but along the way it was stolen by a rebel. Although Psy-Crow killed the rebel, the suit fell down to Earth, landing on an Earth Worm. That cosmic twist of fate placed Jim in control of an ultra-high-tech-indestructible-super-space-cyber-suit.

Anyway, Earthworm Jim found out that Princess What's-Her-Name had been captured and set out to save her. Meanwhile, there's a bounty on Jimmy and plenty of people are in line to take Queen Slug-For-A-Butt up on her offer.

Now Jim must make it to the princess and stay clear of Psy-Crow, the intergalactic bounty hunter, until the final battle with Queen Slug-For-A-Butt. To accomplish this, you'll have to use every weapon and ability at your disposal to wriggle your way through dozens of original and just plain weird levels.
Diverse levels and gameplay modes that provide an unmatched platforming experience
Great music and amusing sound effects
Loads of good humor and fun, often bordering on the disturbing";Shooter, Platform, Adventure;;;./images\Earthworm Jim 1  2.jpg;;1996.0;;;images\1996 - Earthworm Jim 1 + 2.jpg;False
2000 - Earthworm Jim 3D;Earthworm Jim 3D;Earthworm Jim 3D;Warez;2000.0;\\madhdd02\Software\GAMES\GAMES COMPIL\EARTHWORM JIM\2000 - Earthworm Jim 3D;;False;False;OK;"Earthworm Jim 3D is a platform game, the third in the Earthworm Jim series. It is a sequel to Earthworm Jim and Earthworm Jim 2, and the first game in the series to not be developed by Shiny Entertainment, which had recently instituted a strict ""no sequels"" policy. Interplay Entertainment, having recently purchased the Earthworm Jim rights, handed the franchise off to VIS Interactive. The game suffered a difficult, prolonged development cycle and was repeatedly delayed until it was released in 1999 for the Nintendo 64 and Microsoft Windows. The game was not received well, with critics claiming that the charm of the originals was lost, and that despite the long development period, the game still felt sloppy and lacked previously promoted features.";Platform, Adventure;;;./images\Earthworm Jim 3D.jpg;;1999.0;;;images\2000 - Earthworm Jim 3D.jpg;False
Elden Ring;Elden Ring;Elden Ring;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\ELDEN RING\Elden Ring;\\madhdd02\Software\GAMES\GAMES COMPIL\ELDEN RING\Elden Ring.mp4;False;False;OK;Elden Ring: Nightreign is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game’s core design.;Role-playing (RPG), Hack and slash/Beat 'em up;;;./images\Elden Ring.jpg;;2025.0;;;images\Elden Ring.jpg;False
Elden Ring NightReign;Elden Ring NightReign;Elden Ring NightReign;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\ELDEN RING\Elden Ring NightReign;\\madhdd02\Software\GAMES\GAMES COMPIL\ELDEN RING\Elden Ring NightReign.mp4;False;False;OK;Elden Ring: Nightreign is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game’s core design.;Role-playing (RPG), Hack and slash/Beat 'em up;;;./images\Elden Ring NightReign.jpg;;2025.0;;;images\Elden Ring NightReign.jpg;False
Everspace;Everspace;Everspace;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\EVERSPACE\Everspace;\\madhdd02\Software\GAMES\GAMES COMPIL\EVERSPACE\Everspace.mp4;False;False;OK;Everspace is an action-focused single-player space shooter with rock solid 6DOF controls combining roguelike elements with top-notch visuals and a captivating non-linear story as well as VR support in the final version.;Fighting, Shooter, Simulator, Indie;;;./images\Everspace.jpg;;2017.0;;;images\Everspace.jpg;False
Everspace 2;Everspace 2;Everspace 2;Warez;;\\madhdd02\Software\GAMES\GAMES COMPIL\EVERSPACE\Everspace 2;\\madhdd02\Software\GAMES\GAMES COMPIL\EVERSPACE\Everspace 2.mp4;False;False;OK;"Everspace 2 is a fast-paced single-player spaceship shooter with exploration in space and on planets, tons of loot, RPG elements, mining, and crafting. Experience an exciting sci-fi story set in a vivid, handcrafted open world full of secrets, puzzles, and perils.

After an early access period of just over 2 years, Everspace 2 launched its full 1.0 release on PC in April of 2023, later coming to Xbox Series X|S and PS5 in August of 2023.";Shooter, Role-playing (RPG), Simulator, Adventure, Indie;;;./images\Everspace 2.jpg;;2023.0;;;images\Everspace 2.jpg;False
